stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
IL,17,NCNTY17059N17059,Gallatin County,"Gallatin County, IL",1705999999,4967,632,698,916,1098,1308
IL,17,NCNTY17061N17061,Greene County,"Greene County, IL",1706199999,12015,684,756,992,1189,1385
IL,17,METRO16980MM3170,Grundy County,"Grundy County, IL HUD Metro FMR Area",1706399999,52624,1032,1118,1459,1979,2203
IL,17,NCNTY17065N17065,Hamilton County,"Hamilton County, IL",1706599999,8008,632,727,916,1274,1308
IL,17,NCNTY17067N17067,Hancock County,"Hancock County, IL",1706799999,17582,632,791,916,1111,1213
IL,17,NCNTY17069N17069,Hardin County,"Hardin County, IL",1706999999,3665,632,698,916,1098,1308
IL,17,NCNTY17071N17071,Henderson County,"Henderson County, IL",1707199999,6374,632,698,916,1274,1308
IL,17,METRO19340M19340,Henry County,"Davenport-Moline-Rock Island, IA-IL MSA",1707399999,49157,817,928,1143,1498,1819
IL,17,NCNTY17075N17075,Iroquois County,"Iroquois County, IL",1707599999,27043,694,698,916,1136,1492
IL,17,NCNTY17077N17077,Jackson County,"Jackson County, IL",1707799999,53176,632,737,916,1208,1213
IL,17,NCNTY17079N17079,Jasper County,"Jasper County, IL",1707999999,9295,643,719,933,1119,1333
IL,17,NCNTY17081N17081,Jefferson County,"Jefferson County, IL",1708199999,37043,777,782,1026,1248,1365
IL,17,METRO41180M41180,Jersey County,"St. Louis, MO-IL HUD Metro FMR Area",1708399999,21462,955,995,1218,1568,1812
IL,17,NCNTY17085N17085,Jo Daviess County,"Jo Daviess County, IL",1708599999,21942,658,796,954,1271,1276
IL,17,NCNTY17087N17087,Johnson County,"Johnson County, IL",1708799999,13313,632,735,916,1159,1360
IL,17,METRO16980M16980,Kane County,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1708999999,517254,1480,1581,1781,2294,2653
IL,17,METRO28100M28100,Kankakee County,"Kankakee, IL MSA",1709199999,107421,914,1011,1326,1745,1774
IL,17,METRO16980MM3780,Kendall County,"Kendall County, IL HUD Metro FMR Area",1709399999,132795,1413,1562,2050,2819,2918
IL,17,NCNTY17095N17095,Knox County,"Knox County, IL",1709599999,49751,694,698,916,1199,1213
IL,17,METRO16980M16980,Lake County,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1709799999,713159,1480,1581,1781,2294,2653
IL,17,NCNTY17099N17099,La Salle County,"La Salle County, IL",1709999999,109495,772,822,1079,1441,1701
IL,17,NCNTY17101N17101,Lawrence County,"Lawrence County, IL",1710199999,15302,652,721,946,1136,1253
IL,17,NCNTY17103N17103,Lee County,"Lee County, IL",1710399999,34221,632,810,916,1274,1395
IL,17,NCNTY17105N17105,Livingston County,"Livingston County, IL",1710599999,35771,702,776,1018,1267,1348
IL,17,NCNTY17107N17107,Logan County,"Logan County, IL",1710799999,28027,681,782,988,1221,1308
IL,17,NCNTY17109N17109,McDonough County,"McDonough County, IL",1710999999,27370,656,728,951,1231,1512
IL,17,METRO16980M16980,McHenry County,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1711199999,311133,1480,1581,1781,2294,2653
IL,17,METRO14010M14010,McLean County,"Bloomington, IL MSA",1711399999,171284,927,999,1302,1717,1724
IL,17,METRO19500M19500,Macon County,"Decatur, IL MSA",1711599999,103542,840,845,1063,1378,1706
IL,17,METRO41180N17117,Macoupin County,"Macoupin County, IL HUD Metro FMR Area",1711799999,44907,694,698,916,1145,1423
IL,17,METRO41180M41180,Madison County,"St. Louis, MO-IL HUD Metro FMR Area",1711999999,265512,955,995,1218,1568,1812
IL,17,NCNTY17121N17121,Marion County,"Marion County, IL",1712199999,37543,662,769,916,1190,1537
IL,17,METRO37900M37900,Marshall County,"Peoria, IL MSA",1712399999,11740,758,818,1039,1346,1449
IL,17,NCNTY17125N17125,Mason County,"Mason County, IL",1712599999,13074,632,698,916,1274,1537
IL,17,METRO37140N17127,Massac County,"Massac County, IL HUD Metro FMR Area",1712799999,14135,784,789,969,1348,1415
IL,17,METRO44100M44100,Menard County,"Springfield, IL MSA",1712999999,12284,829,970,1203,1611,1682
IL,17,METRO19340M19340,Mercer County,"Davenport-Moline-Rock Island, IA-IL MSA",1713199999,15692,817,928,1143,1498,1819
IL,17,METRO41180M41180,Monroe County,"St. Louis, MO-IL HUD Metro FMR Area",1713399999,34905,955,995,1218,1568,1812
IL,17,NCNTY17135N17135,Montgomery County,"Montgomery County, IL",1713599999,28352,694,714,937,1123,1287
IL,17,NCNTY17137N17137,Morgan County,"Morgan County, IL",1713799999,32882,632,698,916,1138,1537
IL,17,NCNTY17139N17139,Moultrie County,"Moultrie County, IL",1713999999,14531,632,698,916,1274,1537
IL,17,NCNTY17141N17141,Ogle County,"Ogle County, IL",1714199999,51672,771,852,1118,1365,1602
IL,17,METRO37900M37900,Peoria County,"Peoria, IL MSA",1714399999,181186,758,818,1039,1346,1449
IL,17,NCNTY17145N17145,Perry County,"Perry County, IL",1714599999,20996,632,698,916,1148,1537
IL,17,METRO16580M16580,Piatt County,"Champaign-Urbana, IL HUD Metro FMR Area",1714799999,16698,941,946,1122,1436,1486
IL,17,NCNTY17149N17149,Pike County,"Pike County, IL",1714999999,14776,632,698,916,1114,1368
IL,17,NCNTY17151N17151,Pope County,"Pope County, IL",1715199999,3799,749,828,1087,1375,1553
IL,17,NCNTY17153N17153,Pulaski County,"Pulaski County, IL",1715399999,5177,632,836,916,1274,1537
IL,17,NCNTY17155N17155,Putnam County,"Putnam County, IL",1715599999,5628,646,851,937,1212,1553
