ZCTA,land_sqmi,water_sqmi,lat,lon,population,density_sqmi
11756,5.529,0.025,40.724512,-73.516326,42553,7696.328449990957
11757,6.81,0.34,40.689009,-73.37335,44571,6544.933920704846
11758,11.991,6.965,40.653822,-73.457076,54741,4565.173880410308
11762,3.22,0.064,40.682744,-73.446664,22447,6971.11801242236
11763,13.756,0.0,40.825275,-72.982436,30235,2197.94998546089
11764,9.18,1.177,40.92986,-72.973063,12530,1364.9237472766886
11765,2.258,0.244,40.882132,-73.558968,808,357.8387953941541
11766,6.027,1.436,40.939219,-73.018666,11481,1904.927824788452
11767,4.333,0.006,40.847754,-73.145703,14495,3345.2573274867295
11768,15.098,11.373,40.923631,-73.339309,21908,1451.0531196184925
11769,4.357,0.735,40.734504,-73.125222,9031,2072.7564838191415
11770,0.604,0.0,40.649645,-73.140324,124,205.29801324503313
11771,10.84,3.302,40.87373,-73.5253,10173,938.4686346863468
11772,16.132,0.455,40.76178,-72.987407,45006,2789.858666005455
11776,7.148,0.0,40.913456,-73.045674,23629,3305.6799104644656
11777,4.392,2.104,40.956068,-73.066659,9347,2128.1876138433513
11778,6.741,1.332,40.948046,-72.937093,12919,1916.4812342382436
11779,12.47,0.332,40.812958,-73.11449,38273,3069.206094627105
11780,11.503,3.951,40.911113,-73.172509,15586,1354.95088237851
11782,5.554,0.065,40.736729,-73.079999,14537,2617.392870003601
11783,3.542,0.035,40.677612,-73.490014,21588,6094.861660079052
11784,5.479,0.0,40.868615,-73.042202,25986,4742.83628399343
11786,4.847,1.646,40.951398,-72.888417,6348,1309.6760883020424
11787,14.899,0.668,40.852924,-73.21126,34656,2326.06215182227
11788,8.604,0.0,40.818085,-73.21319,17092,1986.5178986517901
11789,1.692,0.921,40.962028,-72.971008,7447,4401.30023640662
11790,7.294,0.435,40.907804,-73.127479,19934,2732.9311763092956
11791,12.513,0.275,40.827771,-73.502767,25194,2013.4260369216015
11792,9.89,2.745,40.955033,-72.825569,8562,865.7229524772497
11793,9.857,1.836,40.647228,-73.51146,31497,3195.394136146901
11795,5.692,0.455,40.709005,-73.296337,25063,4403.19747013352
